so_band,res_num_per_chip,freq_hz,resonator_height_um,wiggles,sliders,slider_delta_um,resonator_impedance_ohms,coupling_capacitance_f,coupling_inductance_h,x_pos_mm,y_pos_mm
0.0,18.0,4054524285.714286,2671.0,21.0,3.0,60.74956709340351,50.0,4.182296061704048e-15,3.9812232300404215e-11,-6.625,-0.2
0.0,19.0,4056395000.0000005,2671.0,21.0,3.0,61.33789838230645,50.0,4.182296061704048e-15,3.9812232300404215e-11,-5.625,-0.2
0.0,20.0,4058265714.285714,2671.0,21.0,3.0,61.925687272149574,50.0,4.182296061704048e-15,3.9812232300404215e-11,-4.625,-0.2
0.0,21.0,4060136428.571429,2671.0,21.0,3.0,62.51293451267004,50.0,4.182296061704048e-15,3.9812232300404215e-11,-3.625,-0.2
0.0,22.0,4062007142.857143,2671.0,21.0,3.0,63.0996408522213,50.0,4.182296061704048e-15,3.9812232300404215e-11,-2.625,-0.2
0.0,23.0,4063877857.1428566,2671.0,21.0,3.0,63.685807037776115,50.0,4.182296061704048e-15,3.9812232300404215e-11,-1.625,-0.2
0.0,24.0,4065748571.428571,2671.0,21.0,3.0,64.27143381493876,50.0,4.182296061704048e-15,3.9812232300404215e-11,-0.625,-0.2
0.0,25.0,4067619285.714286,2671.0,21.0,3.0,64.85652192792979,50.0,4.182296061704048e-15,3.9812232300404215e-11,0.375,-0.2
0.0,26.0,4069490000.0000005,2671.0,21.0,3.0,65.44107211961494,50.0,4.182296061704048e-15,3.9812232300404215e-11,1.375,-0.2
0.0,27.0,4071360714.285714,2671.0,21.0,3.0,66.02508513148537,50.0,4.182296061704048e-15,3.9812232300404215e-11,2.375,-0.2
0.0,28.0,4073231428.571429,2671.0,21.0,3.0,66.60856170367587,50.0,4.182296061704048e-15,3.9812232300404215e-11,3.375,-0.2
0.0,29.0,4075102142.857143,2671.0,21.0,3.0,67.19150257495885,50.0,4.182296061704048e-15,3.9812232300404215e-11,4.375,-0.2
0.0,30.0,4076972857.1428566,2671.0,21.0,3.0,67.77390848274881,50.0,4.182296061704048e-15,3.9812232300404215e-11,5.375,-0.2
0.0,31.0,4078843571.428571,2671.0,21.0,3.0,68.35578016311611,50.0,4.182296061704048e-15,3.9812232300404215e-11,6.375,-0.2
0.0,32.0,4080714285.714286,2671.0,21.0,3.0,68.93711835076867,50.0,4.182296061704048e-15,3.9812232300404215e-11,7.375,-0.2
0.0,33.0,4084714285.714286,2271.0,23.0,3.0,78.89697051202289,50.0,4.070258929782679e-15,3.959071746996133e-11,-7.875,0.2
