# Metadata:utc,2021-01-15 20:06:47.112928|path,D:\waferscreen\nist\10\2021-01-15\scan\raw\scan4.100GHz-6.200GHz_2021-01-15 20-06-47.112928.txt|end_time,1610741207|export_type,scan|fcenter_ghz,6|flux_current_ua,0|flux_supply_v,0|fmax_ghz,6|fmin_ghz,4|fspan_ghz,0|if_bw_hz,100|num_freq_points,22414|port_power_dbm,-20|ramp_series_resistance_ohms,10000|start_time,1610740923|sweeptype,lin|vna_address,GPIB1::19::INSTR
# Header:freq_ghz,real,imag
4.105340650515325,0.7246704,0.0845337
4.105434346138401,0.7258301,0.0731812
4.1055280417614775,0.7276001,0.059021
4.105621737384554,0.7280884,0.0450439
4.105715433007629,0.7290649,0.0313721
4.105809128630705,0.7290039,0.019104
4.105902824253781,0.7288208,0.0064697
4.105996519876856,0.7286987,-0.006774902
4.106090215499933,0.7294922,-0.02020264
4.106183911123009,0.7272949,-0.03424072
4.106277606746085,0.7265625,-0.04846191
4.10637130236916,0.7261963,-0.05969238
4.106464997992236,0.7243042,-0.07232666
4.1065586936153124,0.7226563,-0.08514404
4.106652389238388,0.7201538,-0.09973145
4.106746084861464,0.7189941,-0.1107178
4.10683978048454,0.7169189,-0.1251831
4.106933476107616,0.7128296,-0.1394043
4.107027171730691,0.711792,-0.1512451
4.107120867353768,0.7075195,-0.1641235
4.107214562976844,0.7044678,-0.1769409
4.107308258599919,0.7023315,-0.1889038
4.107401954222995,0.6970825,-0.2011719
4.107495649846071,0.6949463,-0.2146606
4.1075893454691474,0.6903687,-0.2279663
4.107683041092223,0.6853638,-0.2402344
4.107776736715299,0.6808472,-0.2522583
4.107870432338375,0.6763306,-0.2651367
4.10796412796145,0.6729126,-0.2752075
4.108057823584526,0.6657104,-0.2886353
4.108151519207603,0.659668,-0.3000488
4.108245214830678,0.6541138,-0.314209
4.108338910453754,0.6487427,-0.3243408
4.10843260607683,0.642395,-0.3359985
4.108526301699906,0.635437,-0.34729
4.1086199973229816,0.6293945,-0.3606567
4.108713692946058,0.6224976,-0.3690186
4.108807388569134,0.6167603,-0.380188
4.108901084192209,0.6086426,-0.3924561
4.108994779815285,0.6013794,-0.4029541
4.109088475438361,0.5941162,-0.4139404
4.109182171061438,0.5856934,-0.4230347
4.109275866684513,0.578125,-0.4349365
4.109369562307589,0.5704346,-0.4460449
4.109463257930665,0.5618286,-0.4570923
4.10955695355374,0.553833,-0.4663696
4.1096506491768166,0.5443726,-0.475769
4.109744344799893,0.5361328,-0.4844971
4.109838040422969,0.527832,-0.4950562
4.109931736046044,0.5166626,-0.5042725
4.11002543166912,0.5092773,-0.5127563
4.110119127292196,0.5,-0.5228271
4.110212822915272,0.489624,-0.5319824
4.110306518538348,0.4807129,-0.5397949
4.110400214161424,0.4702759,-0.5487061
4.1104939097845,0.4595947,-0.5570679
4.110587605407575,0.4494019,-0.565979
4.1106813010306515,0.4393921,-0.5725708
4.110774996653728,0.4293823,-0.5814819
4.110868692276803,0.4186401,-0.5897217
4.110962387899879,0.4067993,-0.5963745
4.111056083522955,0.3964844,-0.6045532
4.111149779146031,0.3856812,-0.6104126
4.111243474769107,0.3741455,-0.6175537
4.111337170392183,0.3634644,-0.6229248
4.111430866015259,0.352356,-0.6304932
4.111524561638334,0.3401489,-0.6362305
4.11161825726141,0.328186,-0.6436157
4.1117119528844865,0.3171387,-0.647644
4.111805648507562,0.305542,-0.6532593
4.111899344130638,0.2932739,-0.6593018
4.111993039753714,0.2813721,-0.664978
4.11208673537679,0.2692261,-0.6693115
4.1121804309998655,0.2582397,-0.673584
4.112274126622942,0.2449951,-0.6781006
4.112367822246018,0.2329102,-0.6829834
4.112461517869093,0.22052,-0.687439
4.112555213492169,0.2081299,-0.6920776
4.112648909115245,0.1959229,-0.6950684
4.1127426047383215,0.1818237,-0.6978149
4.112836300361397,0.1686401,-0.7005615
4.112929995984473,0.1571045,-0.7040405
4.113023691607549,0.1443481,-0.7081909
4.113117387230624,0.131897,-0.7103271
4.1132110828537005,0.1196899,-0.7111206
4.113304778476777,0.1064453,-0.7132568
