Timestamp,Test Time,Log Comments,PS_V,960V,PS_I,RLeads,Pressure,Tset,Snout Coil Set,ADR 50mK,PT 60K,PT 3K,Magnet Diode,Auxiliary,ADR 1K,Magnet RTD,H20 Inlet Temp,H20 Outlet Temp,Helium Temp,Oil Temp,High Side Press,Low Side Press,Current,Runtime (min),921_R,922_1_V,922_2_V,922_3_V,922_4_V,923A1_R,923A2_R
04/30/2021 12:46:43.288,35.096755,,1.216712,0.607677,0.093214,12.896013,0.000000,0.075000,0.000000,0.073810990,56.730000,2.434000,2.839000,309.752000,0.040635,2.000000,10.200000,23.400000,58.900000,25.700000,273.100000,93.300000,10.000000,23712.150000,25688.200000,1.058230,1.696823,1.615814,0.495435,42357.890000,166051.500000
04/30/2021 12:46:45.292,37.099090,,1.238641,0.617726,0.097599,12.883414,0.000000,0.075000,0.000000,0.074176780,56.731000,2.441000,2.839000,310.063000,0.040907,2.000000,10.300000,23.500000,59.000000,25.800000,275.700000,99.300000,10.000000,23712.150000,25626.340000,1.058230,1.696631,1.615826,0.494686,41943.580000,166051.500000
04/30/2021 12:46:46.295,38.098101,,1.299470,0.656230,0.099835,12.691113,0.000000,0.075000,0.000000,0.073894870,56.730000,2.437000,2.838000,310.206000,0.041675,2.000000,10.300000,23.400000,58.900000,25.600000,262.600000,91.100000,10.000000,23712.150000,25643.580000,1.058231,1.696898,1.615835,0.494341,40913.680000,166051.500000
04/30/2021 12:46:48.303,40.093125,,1.325803,0.663270,0.104038,12.777870,0.000000,0.075000,0.000000,0.074158000,56.730000,2.425000,2.838000,310.490000,0.043454,2.000000,10.300000,23.400000,59.000000,25.700000,269.600000,91.900000,10.000000,23712.150000,25529.650000,1.058231,1.697097,1.615853,0.493473,38574.740000,166051.500000
04/30/2021 12:46:50.294,42.092890,,1.326923,0.661892,0.105477,12.689481,0.000000,0.075000,0.000000,0.074382980,56.728000,2.435000,2.837000,310.627000,0.051395,2.000000,10.300000,23.600000,59.000000,25.600000,276.300000,103.300000,10.000000,23712.150000,25431.090000,1.058234,1.696658,1.615865,0.493324,30740.860000,166051.500000
04/30/2021 12:46:51.283,43.099903,,1.346021,0.676742,0.105940,12.580185,0.000000,0.075000,0.000000,0.074315560,56.727000,2.441000,2.837000,310.602000,0.049285,2.000000,10.300000,23.400000,58.900000,25.700000,262.500000,89.700000,9.000000,23712.150000,25481.570000,1.058235,1.696640,1.615879,0.493386,32525.850000,166051.500000
04/30/2021 12:46:52.289,44.091913,,1.419152,0.721026,0.108756,12.705448,0.000000,0.075000,0.000000,0.073859500,56.729000,2.437000,2.837000,310.571000,0.047307,2.000000,10.300000,23.500000,58.900000,25.800000,271.900000,103.100000,10.000000,23712.150000,25618.290000,1.058232,1.696761,1.615883,0.493581,34368.150000,166051.500000
04/30/2021 12:46:53.294,45.094925,,1.427677,0.709660,0.112293,13.048972,0.000000,0.075000,0.000000,0.074219890,56.727000,2.431000,2.837000,310.448000,0.045325,2.000000,10.200000,23.400000,59.000000,25.700000,266.400000,95.200000,10.000000,23712.150000,25536.930000,1.058230,1.696916,1.615887,0.493757,36405.590000,166051.500000
04/30/2021 12:46:55.290,47.085006,,1.452661,0.726838,0.114502,12.725494,0.000000,0.075000,0.000000,0.074203900,56.729000,2.428000,2.836000,310.331000,0.044632,2.000000,10.300000,23.500000,58.900000,25.600000,276.400000,101.800000,10.000000,23712.150000,25448.810000,1.058232,1.697015,1.615908,0.494039,37209.390000,166051.500000
04/30/2021 12:46:56.292,48.096020,,1.471096,0.742793,0.115606,12.686755,0.000000,0.075000,0.000000,0.074257670,56.729000,2.435000,2.836000,310.277000,0.044200,2.000000,10.300000,23.400000,59.000000,25.600000,262.800000,88.300000,10.000000,23712.150000,25447.990000,1.058232,1.696815,1.615911,0.494360,37709.570000,166051.500000
