"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.60224022402E+009, +3.19396828593E-002, -3.84393088407E-002
+4.60226022602E+009, +3.16187440911E-002, -3.87467963884E-002
+4.60228022802E+009, +3.13821940223E-002, -3.89169935770E-002
+4.60230023002E+009, +3.10832849663E-002, -3.92027052663E-002
+4.60232023202E+009, +3.07567044169E-002, -3.93637220284E-002
+4.60234023402E+009, +3.04783198791E-002, -3.96940162168E-002
+4.60236023602E+009, +3.01644581439E-002, -3.99109463635E-002
+4.60238023802E+009, +2.99042440422E-002, -3.99931232636E-002
+4.60240024002E+009, +2.95603341140E-002, -4.02948369145E-002
+4.60242024202E+009, +2.94140228382E-002, -4.05328613889E-002
+4.60244024402E+009, +2.90532364121E-002, -4.07404110922E-002
+4.60246024602E+009, +2.86514938847E-002, -4.09218431708E-002
+4.60248024802E+009, +2.83434175922E-002, -4.10792786132E-002
+4.60250025003E+009, +2.80915448767E-002, -4.13031967941E-002
+4.60252025203E+009, +2.78811779454E-002, -4.15523356506E-002
+4.60254025403E+009, +2.75479640116E-002, -4.16863503488E-002
+4.60256025603E+009, +2.72458152469E-002, -4.19397626665E-002
+4.60258025803E+009, +2.69755314032E-002, -4.22001163260E-002
+4.60260026003E+009, +2.66638457246E-002, -4.22935821288E-002
+4.60262026203E+009, +2.63372686880E-002, -4.24764462504E-002
+4.60264026403E+009, +2.60193370285E-002, -4.27228906311E-002
+4.60266026603E+009, +2.57846530099E-002, -4.28057867472E-002
+4.60268026803E+009, +2.54467121434E-002, -4.30431214768E-002
+4.60270027003E+009, +2.51178321328E-002, -4.32566805425E-002
+4.60272027203E+009, +2.47508653574E-002, -4.35000016910E-002
+4.60274027403E+009, +2.44737254740E-002, -4.35790705507E-002
+4.60276027603E+009, +2.42020826744E-002, -4.37990097328E-002
+4.60278027803E+009, +2.38182625664E-002, -4.39760426852E-002
+4.60280028003E+009, +2.35595464360E-002, -4.42461994168E-002
+4.60282028203E+009, +2.32542534498E-002, -4.43392739593E-002
+4.60284028403E+009, +2.29029267253E-002, -4.44628848263E-002
+4.60286028603E+009, +2.26012873467E-002, -4.46825238105E-002
+4.60288028803E+009, +2.23293365909E-002, -4.47167087196E-002
+4.60290029003E+009, +2.18679969017E-002, -4.49822017389E-002
+4.60292029203E+009, +2.16692788690E-002, -4.51911462245E-002
+4.60294029403E+009, +2.12419918669E-002, -4.52929070178E-002
+4.60296029603E+009, +2.09792277055E-002, -4.54520741226E-002
+4.60298029803E+009, +2.05757675896E-002, -4.55692639571E-002
+4.60300030003E+009, +2.03155973771E-002, -4.57288643542E-002
+4.60302030203E+009, +1.99442213782E-002, -4.59168651981E-002
+4.60304030403E+009, +1.96717073470E-002, -4.61178696770E-002
+4.60306030603E+009, +1.93983540605E-002, -4.61716789809E-002
+4.60308030803E+009, +1.89710275937E-002, -4.63124540880E-002
+4.60310031003E+009, +1.86539518585E-002, -4.64078321387E-002
+4.60312031203E+009, +1.83009509710E-002, -4.65320755473E-002
+4.60314031403E+009, +1.79662955509E-002, -4.66479482442E-002
+4.60316031603E+009, +1.75498899395E-002, -4.67947574411E-002
+4.60318031803E+009, +1.72815252878E-002, -4.69761268205E-002
+4.60320032003E+009, +1.69393465941E-002, -4.70893155760E-002
+4.60322032203E+009, +1.65412015174E-002, -4.72410960986E-002
+4.60324032403E+009, +1.62756804507E-002, -4.73131695776E-002
+4.60326032603E+009, +1.59743529068E-002, -4.74635765912E-002
+4.60328032803E+009, +1.55263311911E-002, -4.75900558642E-002
+4.60330033003E+009, +1.53002916289E-002, -4.76334546234E-002
+4.60332033203E+009, +1.48467681942E-002, -4.77496166394E-002
+4.60334033403E+009, +1.45404483015E-002, -4.78774961062E-002
+4.60336033603E+009, +1.41412510984E-002, -4.79828283394E-002
+4.60338033803E+009, +1.38458368857E-002, -4.80960289917E-002
+4.60340034003E+009, +1.34802903998E-002, -4.81614279082E-002
+4.60342034203E+009, +1.31338006150E-002, -4.82221834964E-002
+4.60344034403E+009, +1.27804422637E-002, -4.83707393816E-002
+4.60346034603E+009, +1.24407628402E-002, -4.84291307805E-002
+4.60348034803E+009, +1.20780644615E-002, -4.85948103938E-002
+4.60350035004E+009, +1.17738724249E-002, -4.86531908243E-002
+4.60352035204E+009, +1.13609144514E-002, -4.87498867546E-002
+4.60354035404E+009, +1.10131454974E-002, -4.88850383100E-002
+4.60356035604E+009, +1.06767512022E-002, -4.89161807809E-002
+4.60358035804E+009, +1.03421513129E-002, -4.89386774197E-002
+4.60360036004E+009, +9.93813297482E-003, -4.90787101818E-002
+4.60362036204E+009, +9.69889526365E-003, -4.91418352752E-002
+4.60364036404E+009, +9.37235953636E-003, -4.92252743862E-002
+4.60366036604E+009, +8.90510566950E-003, -4.92308873986E-002
+4.60368036804E+009, +8.59263552556E-003, -4.93291134700E-002
+4.60370037004E+009, +8.18112934858E-003, -4.93958585683E-002
+4.60372037204E+009, +7.83551347869E-003, -4.94553264737E-002
+4.60374037404E+009, +7.49771306881E-003, -4.94906142439E-002
+4.60376037604E+009, +7.14410734905E-003, -4.95228444213E-002
+4.60378037804E+009, +6.71544502200E-003, -4.95816045994E-002
+4.60380038004E+009, +6.42529176010E-003, -4.97076818442E-002
+4.60382038204E+009, +6.05287075282E-003, -4.97841907621E-002
+4.60384038404E+009, +5.65428527239E-003, -4.97969717140E-002
+4.60386038604E+009, +5.35248761373E-003, -4.98127867120E-002
+4.60388038804E+009, +4.97005600930E-003, -4.98214587783E-002
+4.60390039004E+009, +4.63914300831E-003, -4.99096013367E-002
+4.60392039204E+009, +4.22116652319E-003, -4.98760324094E-002
+4.60394039404E+009, +3.84099611843E-003, -4.99587907121E-002
+4.60396039604E+009, +3.54591239180E-003, -4.99269334690E-002
+4.60398039804E+009, +3.18727405934E-003, -4.99477285111E-002
+4.60400040004E+009, +2.79217421574E-003, -5.00400221022E-002
+4.60402040204E+009, +2.43616379625E-003, -4.99579762795E-002
+4.60404040404E+009, +2.12964955722E-003, -4.99677670535E-002
+4.60406040604E+009, +1.67721774552E-003, -5.00701131841E-002
+4.60408040804E+009, +1.42383807203E-003, -5.00709617525E-002
+4.60410041004E+009, +9.66448367456E-004, -5.00480221878E-002
+4.60412041204E+009, +6.26759122513E-004, -5.00462096561E-002
+4.60414041404E+009, +2.52713723325E-004, -5.00447777587E-002
+4.60416041604E+009, -4.04519282883E-005, -5.00934882765E-002
+4.60418041804E+009, -4.26052444306E-004, -5.00651357236E-002
+4.60420042004E+009, -8.40661457934E-004, -5.01525823500E-002
+4.60422042204E+009, -1.11718615677E-003, -5.00191046688E-002
